id,scenario,plant_id,timestep,area,fuel_type,production,up_activation,down_activation
163,3,1,17,1,Thermal,0.0,0.0,0.0
164,4,1,17,1,Thermal,0.0,0.0,0.0
165,5,1,17,1,Thermal,0.0,0.0,0.0
166,6,1,17,1,Thermal,0.0,0.0,0.0
167,7,1,17,1,Thermal,0.0,0.0,0.0
168,8,1,17,1,Thermal,0.0,0.0,0.0
169,9,1,17,1,Thermal,0.0,0.0,0.0
170,10,1,17,1,Thermal,0.0,0.0,0.0
171,1,1,18,1,Thermal,0.0,0.0,0.0
172,2,1,18,1,Thermal,0.0,0.0,0.0
173,3,1,18,1,Thermal,0.0,0.0,0.0
174,4,1,18,1,Thermal,0.0,0.0,0.0
175,5,1,18,1,Thermal,0.0,0.0,0.0
176,6,1,18,1,Thermal,0.0,0.0,0.0
177,7,1,18,1,Thermal,0.0,0.0,0.0
178,8,1,18,1,Thermal,0.0,0.0,0.0
179,9,1,18,1,Thermal,0.0,0.0,0.0
180,10,1,18,1,Thermal,0.0,0.0,0.0
181,1,1,19,1,Thermal,0.0,0.0,0.0
182,2,1,19,1,Thermal,0.0,0.0,0.0
183,3,1,19,1,Thermal,0.0,0.0,0.0
184,4,1,19,1,Thermal,0.0,0.0,0.0
185,5,1,19,1,Thermal,0.0,0.0,0.0
186,6,1,19,1,Thermal,0.0,0.0,0.0
187,7,1,19,1,Thermal,0.0,0.0,0.0
188,8,1,19,1,Thermal,0.0,0.0,0.0
189,9,1,19,1,Thermal,0.0,0.0,0.0
190,10,1,19,1,Thermal,0.0,0.0,0.0
191,1,1,20,1,Thermal,0.0,0.0,0.0
192,2,1,20,1,Thermal,0.0,0.0,0.0
193,3,1,20,1,Thermal,0.0,0.0,0.0
194,4,1,20,1,Thermal,0.0,0.0,0.0
195,5,1,20,1,Thermal,0.0,0.0,0.0
196,6,1,20,1,Thermal,0.0,0.0,0.0
197,7,1,20,1,Thermal,0.0,0.0,0.0
198,8,1,20,1,Thermal,0.0,0.0,0.0
199,9,1,20,1,Thermal,0.0,0.0,0.0
200,10,1,20,1,Thermal,0.0,0.0,0.0
201,1,1,21,1,Thermal,0.0,0.0,0.0
202,2,1,21,1,Thermal,0.0,0.0,0.0
203,3,1,21,1,Thermal,0.0,0.0,0.0
204,4,1,21,1,Thermal,0.0,0.0,0.0
205,5,1,21,1,Thermal,0.0,0.0,0.0
206,6,1,21,1,Thermal,0.0,0.0,0.0
207,7,1,21,1,Thermal,0.0,0.0,0.0
208,8,1,21,1,Thermal,0.0,0.0,0.0
209,9,1,21,1,Thermal,0.0,0.0,0.0
210,10,1,21,1,Thermal,0.0,0.0,0.0
211,1,1,22,1,Thermal,0.0,0.0,0.0
212,2,1,22,1,Thermal,0.0,0.0,0.0
213,3,1,22,1,Thermal,0.0,0.0,0.0
214,4,1,22,1,Thermal,0.0,0.0,0.0
215,5,1,22,1,Thermal,0.0,0.0,0.0
216,6,1,22,1,Thermal,0.0,0.0,0.0
217,7,1,22,1,Thermal,0.0,0.0,0.0
218,8,1,22,1,Thermal,0.0,0.0,0.0
219,9,1,22,1,Thermal,0.0,0.0,0.0
220,10,1,22,1,Thermal,0.0,0.0,0.0
221,1,1,23,1,Thermal,0.0,0.0,0.0
222,2,1,23,1,Thermal,0.0,0.0,0.0
223,3,1,23,1,Thermal,0.0,0.0,0.0
224,4,1,23,1,Thermal,0.0,0.0,0.0
225,5,1,23,1,Thermal,0.0,0.0,0.0
226,6,1,23,1,Thermal,0.0,0.0,0.0
227,7,1,23,1,Thermal,0.0,0.0,0.0
228,8,1,23,1,Thermal,0.0,0.0,0.0
229,9,1,23,1,Thermal,0.0,0.0,0.0
230,10,1,23,1,Thermal,0.0,0.0,0.0
231,1,1,24,1,Thermal,0.0,0.0,0.0
232,2,1,24,1,Thermal,0.0,0.0,0.0
233,3,1,24,1,Thermal,0.0,0.0,0.0
234,4,1,24,1,Thermal,0.0,0.0,0.0
235,5,1,24,1,Thermal,0.0,0.0,0.0
236,6,1,24,1,Thermal,0.0,0.0,0.0
237,7,1,24,1,Thermal,0.0,0.0,0.0
238,8,1,24,1,Thermal,0.0,0.0,0.0
239,9,1,24,1,Thermal,0.0,0.0,0.0
240,10,1,24,1,Thermal,0.0,0.0,0.0
241,1,1,25,1,Thermal,0.0,0.0,0.0
242,2,1,25,1,Thermal,0.0,0.0,0.0
243,3,1,25,1,Thermal,0.0,0.0,0.0
244,4,1,25,1,Thermal,0.0,0.0,0.0
245,5,1,25,1,Thermal,0.0,0.0,0.0
246,6,1,25,1,Thermal,0.0,0.0,0.0
247,7,1,25,1,Thermal,0.0,0.0,0.0
248,8,1,25,1,Thermal,0.0,0.0,0.0
249,9,1,25,1,Thermal,0.0,0.0,0.0
250,10,1,25,1,Thermal,0.0,0.0,0.0
251,1,1,26,1,Thermal,0.0,0.0,0.0
252,2,1,26,1,Thermal,0.0,0.0,0.0
253,3,1,26,1,Thermal,0.0,0.0,0.0
254,4,1,26,1,Thermal,0.0,0.0,0.0
255,5,1,26,1,Thermal,0.0,0.0,0.0
256,6,1,26,1,Thermal,0.0,0.0,0.0
257,7,1,26,1,Thermal,0.0,0.0,0.0
258,8,1,26,1,Thermal,0.0,0.0,0.0
259,9,1,26,1,Thermal,0.0,0.0,0.0
260,10,1,26,1,Thermal,0.0,0.0,0.0
261,1,1,27,1,Thermal,0.0,0.0,0.0
262,2,1,27,1,Thermal,0.0,0.0,0.0
263,3,1,27,1,Thermal,0.0,0.0,0.0
264,4,1,27,1,Thermal,0.0,0.0,0.0
265,5,1,27,1,Thermal,0.0,0.0,0.0
266,6,1,27,1,Thermal,0.0,0.0,0.0
267,7,1,27,1,Thermal,0.0,0.0,0.0
268,8,1,27,1,Thermal,0.0,0.0,0.0
269,9,1,27,1,Thermal,0.0,0.0,0.0
270,10,1,27,1,Thermal,0.0,0.0,0.0
271,1,1,28,1,Thermal,0.0,0.0,0.0
272,2,1,28,1,Thermal,0.0,0.0,0.0
273,3,1,28,1,Thermal,0.0,0.0,0.0
274,4,1,28,1,Thermal,0.0,0.0,0.0
275,5,1,28,1,Thermal,0.0,0.0,0.0
276,6,1,28,1,Thermal,0.0,0.0,0.0
277,7,1,28,1,Thermal,0.0,0.0,0.0
278,8,1,28,1,Thermal,0.0,0.0,0.0
279,9,1,28,1,Thermal,0.0,0.0,0.0
280,10,1,28,1,Thermal,0.0,0.0,0.0
281,1,1,29,1,Thermal,0.0,0.0,0.0
282,2,1,29,1,Thermal,0.0,0.0,0.0
283,3,1,29,1,Thermal,0.0,0.0,0.0
284,4,1,29,1,Thermal,0.0,0.0,0.0
285,5,1,29,1,Thermal,0.0,0.0,0.0
286,6,1,29,1,Thermal,0.0,0.0,0.0
287,7,1,29,1,Thermal,0.0,0.0,0.0
288,8,1,29,1,Thermal,0.0,0.0,0.0
289,9,1,29,1,Thermal,0.0,0.0,0.0
290,10,1,29,1,Thermal,0.0,0.0,0.0
291,1,1,30,1,Thermal,0.0,0.0,0.0
292,2,1,30,1,Thermal,0.0,0.0,0.0
293,3,1,30,1,Thermal,0.0,0.0,0.0
294,4,1,30,1,Thermal,0.0,0.0,0.0
295,5,1,30,1,Thermal,0.0,0.0,0.0
296,6,1,30,1,Thermal,0.0,0.0,0.0
297,7,1,30,1,Thermal,0.0,0.0,0.0
298,8,1,30,1,Thermal,0.0,0.0,0.0
299,9,1,30,1,Thermal,0.0,0.0,0.0
300,10,1,30,1,Thermal,0.0,0.0,0.0
301,1,1,31,1,Thermal,0.0,0.0,0.0
302,2,1,31,1,Thermal,0.0,0.0,0.0
303,3,1,31,1,Thermal,0.0,0.0,0.0
304,4,1,31,1,Thermal,0.0,0.0,0.0
305,5,1,31,1,Thermal,0.0,0.0,0.0
306,6,1,31,1,Thermal,0.0,0.0,0.0
307,7,1,31,1,Thermal,0.0,0.0,0.0
308,8,1,31,1,Thermal,0.0,0.0,0.0
309,9,1,31,1,Thermal,0.0,0.0,0.0
310,10,1,31,1,Thermal,0.0,0.0,0.0
311,1,1,32,1,Thermal,0.0,0.0,0.0
312,2,1,32,1,Thermal,0.0,0.0,0.0
313,3,1,32,1,Thermal,0.0,0.0,0.0
314,4,1,32,1,Thermal,0.0,0.0,0.0
315,5,1,32,1,Thermal,0.0,0.0,0.0
316,6,1,32,1,Thermal,0.0,0.0,0.0
317,7,1,32,1,Thermal,0.0,0.0,0.0
318,8,1,32,1,Thermal,0.0,0.0,0.0
319,9,1,32,1,Thermal,0.0,0.0,0.0
320,10,1,32,1,Thermal,0.0,0.0,0.0
321,1,1,33,1,Thermal,0.0,0.0,0.0
322,2,1,33,1,Thermal,0.0,0.0,0.0
323,3,1,33,1,Thermal,0.0,0.0,0.0
324,4,1,33,1,Thermal,0.0,0.0,0.0
325,5,1,33,1,Thermal,0.0,0.0,0.0
326,6,1,33,1,Thermal,0.0,0.0,0.0
327,7,1,33,1,Thermal,0.0,0.0,0.0
328,8,1,33,1,Thermal,0.0,0.0,0.0
329,9,1,33,1,Thermal,0.0,0.0,0.0
330,10,1,33,1,Thermal,0.0,0.0,0.0
331,1,1,34,1,Thermal,0.0,0.0,0.0
332,2,1,34,1,Thermal,0.0,0.0,0.0
333,3,1,34,1,Thermal,0.0,0.0,0.0
334,4,1,34,1,Thermal,0.0,0.0,0.0
335,5,1,34,1,Thermal,0.0,0.0,0.0
336,6,1,34,1,Thermal,0.0,0.0,0.0
337,7,1,34,1,Thermal,0.0,0.0,0.0
338,8,1,34,1,Thermal,0.0,0.0,0.0
339,9,1,34,1,Thermal,0.0,0.0,0.0
340,10,1,34,1,Thermal,0.0,0.0,0.0
341,1,1,35,1,Thermal,0.0,0.0,0.0
342,2,1,35,1,Thermal,0.0,0.0,0.0
343,3,1,35,1,Thermal,0.0,0.0,0.0
344,4,1,35,1,Thermal,0.0,0.0,0.0
345,5,1,35,1,Thermal,0.0,0.0,0.0
346,6,1,35,1,Thermal,0.0,0.0,0.0
347,7,1,35,1,Thermal,0.0,0.0,0.0
348,8,1,35,1,Thermal,0.0,0.0,0.0
349,9,1,35,1,Thermal,0.0,0.0,0.0
350,10,1,35,1,Thermal,0.0,0.0,0.0
351,1,1,36,1,Thermal,0.0,0.0,0.0
352,2,1,36,1,Thermal,0.0,0.0,0.0
353,3,1,36,1,Thermal,0.0,0.0,0.0
354,4,1,36,1,Thermal,0.0,0.0,0.0
355,5,1,36,1,Thermal,0.0,0.0,0.0
356,6,1,36,1,Thermal,0.0,0.0,0.0
357,7,1,36,1,Thermal,0.0,0.0,0.0
358,8,1,36,1,Thermal,0.0,0.0,0.0
359,9,1,36,1,Thermal,0.0,0.0,0.0
360,10,1,36,1,Thermal,0.0,0.0,0.0
361,1,1,37,1,Thermal,0.0,0.0,0.0
362,2,1,37,1,Thermal,0.0,0.0,0.0
363,3,1,37,1,Thermal,0.0,0.0,0.0
364,4,1,37,1,Thermal,0.0,0.0,0.0
365,5,1,37,1,Thermal,0.0,0.0,0.0
366,6,1,37,1,Thermal,0.0,0.0,0.0
367,7,1,37,1,Thermal,0.0,0.0,0.0
368,8,1,37,1,Thermal,0.0,0.0,0.0
369,9,1,37,1,Thermal,0.0,0.0,0.0
370,10,1,37,1,Thermal,0.0,0.0,0.0
371,1,1,38,1,Thermal,0.0,0.0,0.0
372,2,1,38,1,Thermal,0.0,0.0,0.0
373,3,1,38,1,Thermal,0.0,0.0,0.0
374,4,1,38,1,Thermal,0.0,0.0,0.0
375,5,1,38,1,Thermal,0.0,0.0,0.0
