id,scenario,line_id,timestep,area_from,area_to,transmission,timestep_fractional
1794,0,2,68,2,1,0.0,16.8
1794,0,2,68,2,1,0.0,16.8167
1794,0,2,68,2,1,0.0,16.8333
1794,0,2,68,2,1,0.0,16.85
1794,0,2,68,2,1,0.0,16.8667
1794,0,2,68,2,1,0.0,16.8833
1794,0,2,68,2,1,0.0,16.9
1794,0,2,68,2,1,0.0,16.9167
1794,0,2,68,2,1,0.0,16.9333
1794,0,2,68,2,1,0.0,16.95
1794,0,2,68,2,1,0.0,16.9667
1794,0,2,68,2,1,0.0,16.9833
1794,0,2,68,2,1,0.0,17.0
1805,0,2,69,2,1,0.0,17.0167
1805,0,2,69,2,1,0.0,17.0333
1805,0,2,69,2,1,0.0,17.05
1805,0,2,69,2,1,0.0,17.0667
1805,0,2,69,2,1,0.0,17.0833
1805,0,2,69,2,1,0.0,17.1
1805,0,2,69,2,1,0.0,17.1167
1805,0,2,69,2,1,0.0,17.1333
1805,0,2,69,2,1,0.0,17.15
1805,0,2,69,2,1,0.0,17.1667
1805,0,2,69,2,1,0.0,17.1833
1805,0,2,69,2,1,0.0,17.2
1805,0,2,69,2,1,0.0,17.2167
1805,0,2,69,2,1,0.0,17.2333
1805,0,2,69,2,1,0.0,17.25
1816,0,2,70,2,1,0.0,17.2667
1816,0,2,70,2,1,0.0,17.2833
1816,0,2,70,2,1,0.0,17.3
1816,0,2,70,2,1,0.0,17.3167
1816,0,2,70,2,1,0.0,17.3333
1816,0,2,70,2,1,0.0,17.35
1816,0,2,70,2,1,0.0,17.3667
1816,0,2,70,2,1,0.0,17.3833
1816,0,2,70,2,1,0.0,17.4
1816,0,2,70,2,1,0.0,17.4167
1816,0,2,70,2,1,0.0,17.4333
1816,0,2,70,2,1,0.0,17.45
1816,0,2,70,2,1,0.0,17.4667
1816,0,2,70,2,1,0.0,17.4833
1816,0,2,70,2,1,0.0,17.5
1827,0,2,71,2,1,0.0,17.5167
1827,0,2,71,2,1,0.0,17.5333
1827,0,2,71,2,1,0.0,17.55
1827,0,2,71,2,1,0.0,17.5667
1827,0,2,71,2,1,0.0,17.5833
1827,0,2,71,2,1,0.0,17.6
1827,0,2,71,2,1,0.0,17.6167
1827,0,2,71,2,1,0.0,17.6333
1827,0,2,71,2,1,0.0,17.65
1827,0,2,71,2,1,0.0,17.6667
1827,0,2,71,2,1,0.0,17.6833
1827,0,2,71,2,1,0.0,17.7
1827,0,2,71,2,1,0.0,17.7167
1827,0,2,71,2,1,0.0,17.7333
1827,0,2,71,2,1,0.0,17.75
1838,0,2,72,2,1,0.0,17.7667
1838,0,2,72,2,1,0.0,17.7833
1838,0,2,72,2,1,0.0,17.8
1838,0,2,72,2,1,0.0,17.8167
1838,0,2,72,2,1,0.0,17.8333
1838,0,2,72,2,1,0.0,17.85
1838,0,2,72,2,1,0.0,17.8667
1838,0,2,72,2,1,0.0,17.8833
1838,0,2,72,2,1,0.0,17.9
1838,0,2,72,2,1,0.0,17.9167
1838,0,2,72,2,1,0.0,17.9333
1838,0,2,72,2,1,0.0,17.95
1838,0,2,72,2,1,0.0,17.9667
1838,0,2,72,2,1,0.0,17.9833
1838,0,2,72,2,1,0.0,18.0
1849,0,2,73,2,1,0.0,18.0167
1849,0,2,73,2,1,0.0,18.0333
1849,0,2,73,2,1,0.0,18.05
1849,0,2,73,2,1,0.0,18.0667
1849,0,2,73,2,1,0.0,18.0833
1849,0,2,73,2,1,0.0,18.1
1849,0,2,73,2,1,0.0,18.1167
1849,0,2,73,2,1,0.0,18.1333
1849,0,2,73,2,1,0.0,18.15
1849,0,2,73,2,1,0.0,18.1667
1849,0,2,73,2,1,0.0,18.1833
1849,0,2,73,2,1,0.0,18.2
1849,0,2,73,2,1,0.0,18.2167
1849,0,2,73,2,1,0.0,18.2333
1849,0,2,73,2,1,0.0,18.25
1860,0,2,74,2,1,0.0,18.2667
1860,0,2,74,2,1,0.0,18.2833
1860,0,2,74,2,1,0.0,18.3
1860,0,2,74,2,1,0.0,18.3167
1860,0,2,74,2,1,0.0,18.3333
1860,0,2,74,2,1,0.0,18.35
1860,0,2,74,2,1,0.0,18.3667
1860,0,2,74,2,1,0.0,18.3833
1860,0,2,74,2,1,0.0,18.4
1860,0,2,74,2,1,0.0,18.4167
1860,0,2,74,2,1,0.0,18.4333
1860,0,2,74,2,1,0.0,18.45
1860,0,2,74,2,1,0.0,18.4667
1860,0,2,74,2,1,0.0,18.4833
1860,0,2,74,2,1,0.0,18.5
1871,0,2,75,2,1,0.0,18.5167
1871,0,2,75,2,1,0.0,18.5333
1871,0,2,75,2,1,0.0,18.55
1871,0,2,75,2,1,0.0,18.5667
1871,0,2,75,2,1,0.0,18.5833
1871,0,2,75,2,1,0.0,18.6
1871,0,2,75,2,1,0.0,18.6167
1871,0,2,75,2,1,0.0,18.6333
1871,0,2,75,2,1,0.0,18.65
1871,0,2,75,2,1,0.0,18.6667
1871,0,2,75,2,1,0.0,18.6833
1871,0,2,75,2,1,0.0,18.7
1871,0,2,75,2,1,0.0,18.7167
1871,0,2,75,2,1,0.0,18.7333
1871,0,2,75,2,1,0.0,18.75
1882,0,2,76,2,1,0.0,18.7667
1882,0,2,76,2,1,0.0,18.7833
1882,0,2,76,2,1,0.0,18.8
1882,0,2,76,2,1,0.0,18.8167
1882,0,2,76,2,1,0.0,18.8333
1882,0,2,76,2,1,0.0,18.85
1882,0,2,76,2,1,0.0,18.8667
1882,0,2,76,2,1,0.0,18.8833
1882,0,2,76,2,1,0.0,18.9
1882,0,2,76,2,1,0.0,18.9167
1882,0,2,76,2,1,0.0,18.9333
1882,0,2,76,2,1,0.0,18.95
1882,0,2,76,2,1,0.0,18.9667
1882,0,2,76,2,1,0.0,18.9833
1882,0,2,76,2,1,0.0,19.0
1893,0,2,77,2,1,0.0,19.0167
1893,0,2,77,2,1,0.0,19.0333
1893,0,2,77,2,1,0.0,19.05
1893,0,2,77,2,1,0.0,19.0667
1893,0,2,77,2,1,0.0,19.0833
1893,0,2,77,2,1,0.0,19.1
