id,scenario,area,timestep,load,load_shedding,power_dumping
109,0,2,4,0.0,0.0,0.0
110,1,2,4,0.0,0.0,0.0
111,2,2,4,0.0,0.0,0.0
112,3,2,4,0.0,0.0,0.0
113,0,2,5,0.0,0.0,0.0
114,1,2,5,0.0,0.0,0.0
115,2,2,5,0.0,0.0,0.0
116,3,2,5,0.0,0.0,0.0
117,0,2,6,0.0,0.0,0.0
118,1,2,6,0.0,0.0,0.0
119,2,2,6,0.0,0.0,0.0
120,3,2,6,0.0,0.0,0.0
121,0,2,7,0.0,0.0,0.0
122,1,2,7,0.0,0.0,0.0
123,2,2,7,0.0,0.0,0.0
124,3,2,7,0.0,0.0,0.0
125,0,2,8,0.0,0.0,0.0
126,1,2,8,0.0,0.0,0.0
127,2,2,8,0.0,0.0,0.0
128,3,2,8,0.0,0.0,0.0
129,0,2,9,0.0,0.0,0.0
130,1,2,9,0.0,0.0,0.0
131,2,2,9,0.0,0.0,0.0
132,3,2,9,0.0,0.0,0.0
133,0,2,10,0.0,0.0,0.0
134,1,2,10,0.0,0.0,0.0
135,2,2,10,0.0,0.0,0.0
136,3,2,10,0.0,0.0,0.0
137,0,2,11,0.0,0.0,0.0
138,1,2,11,0.0,0.0,0.0
139,2,2,11,0.0,0.0,0.0
140,3,2,11,0.0,0.0,0.0
141,0,2,12,0.0,0.0,0.0
142,1,2,12,0.0,0.0,0.0
143,2,2,12,0.0,0.0,0.0
144,3,2,12,0.0,0.0,0.0
145,0,2,13,0.0,0.0,0.0
146,1,2,13,0.0,0.0,0.0
147,2,2,13,0.0,0.0,0.0
148,3,2,13,0.0,0.0,0.0
149,0,2,14,0.0,0.0,0.0
150,1,2,14,0.0,0.0,0.0
151,2,2,14,0.0,0.0,0.0
152,3,2,14,0.0,0.0,0.0
153,0,2,15,0.0,0.0,0.0
154,1,2,15,0.0,0.0,0.0
155,2,2,15,0.0,0.0,0.0
156,3,2,15,0.0,0.0,0.0
157,0,2,16,0.0,0.0,0.0
158,1,2,16,0.0,0.0,0.0
159,2,2,16,0.0,0.0,0.0
160,3,2,16,0.0,0.0,0.0
161,0,2,17,0.0,0.0,0.0
162,1,2,17,0.0,0.0,0.0
163,2,2,17,0.0,0.0,0.0
164,3,2,17,0.0,0.0,0.0
165,0,2,18,0.0,0.0,0.0
166,1,2,18,0.0,0.0,0.0
167,2,2,18,0.0,0.0,0.0
168,3,2,18,0.0,0.0,0.0
169,0,2,19,0.0,0.0,0.0
170,1,2,19,0.0,0.0,0.0
171,2,2,19,0.0,0.0,0.0
172,3,2,19,0.0,0.0,0.0
173,0,2,20,0.0,0.0,0.0
174,1,2,20,0.0,0.0,0.0
175,2,2,20,0.0,0.0,0.0
176,3,2,20,0.0,0.0,0.0
177,0,2,21,0.0,0.0,0.0
178,1,2,21,0.0,0.0,0.0
179,2,2,21,0.0,0.0,0.0
180,3,2,21,0.0,0.0,0.0
181,0,2,22,0.0,0.0,0.0
182,1,2,22,0.0,0.0,0.0
183,2,2,22,0.0,0.0,0.0
184,3,2,22,0.0,0.0,0.0
185,0,2,23,0.0,0.0,0.0
186,1,2,23,0.0,0.0,0.0
187,2,2,23,0.0,0.0,0.0
188,3,2,23,0.0,0.0,0.0
189,0,2,24,0.0,0.0,0.0
190,1,2,24,0.0,0.0,0.0
191,2,2,24,0.0,0.0,0.0
192,3,2,24,0.0,0.0,0.0
193,0,3,1,462.1,462.1,0.0
194,1,3,1,545.3,0.0,0.0
195,2,3,1,378.9,0.0,0.0
196,3,3,1,508.3,0.0,0.0
197,0,3,2,440.2,433.54012000000006,0.0
198,1,3,2,519.5,0.0,0.0
199,2,3,2,361.0,0.0,0.0
200,3,3,2,484.3,0.0,0.0
201,0,3,3,414.6,290.62,0.0
202,1,3,3,489.3,0.0,0.0
203,2,3,3,340.0,0.0,0.0
204,3,3,3,456.1,0.0,0.0
205,0,3,4,407.6,287.65300000000013,0.0
206,1,3,4,481.0,0.0,0.0
207,2,3,4,334.3,0.0,0.0
208,3,3,4,448.4,0.0,0.0
209,0,3,5,400.9,294.39699999999993,0.0
210,1,3,5,473.1,0.0,0.0
211,2,3,5,328.8,0.0,0.0
212,3,3,5,441.0,0.0,0.0
213,0,3,6,406.0,279.14199999999994,0.0
214,1,3,6,479.1,0.0,0.0
215,2,3,6,332.9,0.0,0.0
216,3,3,6,446.6,0.0,0.0
217,0,3,7,420.4,293.8698051028436,0.0
218,1,3,7,496.1,0.0,0.0
219,2,3,7,344.7,0.0,0.0
220,3,3,7,462.5,0.0,0.0
221,0,3,8,421.6,297.06216027874564,0.0
222,1,3,8,497.5,0.0,0.0
223,2,3,8,345.7,0.0,0.0
224,3,3,8,463.7,0.0,0.0
225,0,3,9,436.1,436.1,0.0
226,1,3,9,514.6,0.0,0.0
227,2,3,9,357.6,0.0,0.0
228,3,3,9,479.7,0.0,0.0
229,0,3,10,455.8,455.8,0.0
230,1,3,10,537.8,0.0,0.0
231,2,3,10,373.7,0.0,0.0
232,3,3,10,501.3,0.0,0.0
233,0,3,11,468.5,468.5,0.0
234,1,3,11,552.8,0.0,0.0
235,2,3,11,384.1,0.0,0.0
236,3,3,11,515.3,0.0,0.0
237,0,3,12,468.6,461.57901253456225,0.0
238,1,3,12,552.9,0.0,0.0
239,2,3,12,384.2,0.0,0.0
240,3,3,12,515.4,0.0,0.0
241,0,3,13,471.3,471.3,0.0
242,1,3,13,556.1,0.0,0.0
243,2,3,13,386.5,0.0,0.0
244,3,3,13,518.4,0.0,0.0
245,0,3,14,475.7,449.79285714285714,0.0
246,1,3,14,561.4,0.0,0.0
247,2,3,14,390.1,0.0,0.0
248,3,3,14,523.3,0.0,0.0
249,0,3,15,487.2,432.2800000000001,0.0
250,1,3,15,574.9,0.0,0.0
251,2,3,15,399.5,0.0,0.0
252,3,3,15,535.9,0.0,0.0
253,0,3,16,507.9,330.5071428571429,0.0
254,1,3,16,599.3,0.0,0.0
255,2,3,16,416.5,0.0,0.0
256,3,3,16,558.7,0.0,0.0
257,0,3,17,542.3,389.8329760000002,0.0
258,1,3,17,639.9,0.0,0.0
259,2,3,17,444.7,0.0,0.0
260,3,3,17,596.5,0.0,0.0
261,0,3,18,594.5,159.663142857143,0.0
262,1,3,18,701.5,0.0,0.0
263,2,3,18,487.5,0.0,0.0
264,3,3,18,654.0,0.0,0.0
265,0,3,19,595.5,183.05514285714298,0.0
266,1,3,19,702.7,0.0,0.0
267,2,3,19,488.3,0.0,0.0
268,3,3,19,655.1,0.0,0.0
269,0,3,20,583.5,50.58099999999993,0.0
270,1,3,20,688.5,0.0,0.0
271,2,3,20,478.5,0.0,0.0
272,3,3,20,641.8,0.0,0.0
273,0,3,21,565.2,271.73005474564474,0.0
274,1,3,21,666.9,0.0,0.0
275,2,3,21,463.5,0.0,0.0
276,3,3,21,621.7,0.0,0.0
277,0,3,22,541.9,322.57311885714313,0.0
278,1,3,22,639.5,0.0,0.0
279,2,3,22,444.4,0.0,0.0
280,3,3,22,596.1,0.0,0.0
281,0,3,23,503.0,327.45214285714303,0.0
282,1,3,23,593.6,0.0,0.0
283,2,3,23,412.5,0.0,0.0
284,3,3,23,553.4,0.0,0.0
285,0,3,24,464.5,266.17303085714326,0.0
286,1,3,24,548.1,0.0,0.0
287,2,3,24,380.9,0.0,0.0
288,3,3,24,510.9,0.0,0.0
