timestep,plant_id,scenario,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume,volume_res
2,49913,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49914,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49914,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49914,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49915,1,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
2,49915,2,13.0,0.0,0.0,0.0,13.0,2980.5065000000004,2974.0
2,49915,3,13.0,0.0,0.0,0.0,13.0,2980.5065000000004,2974.0
2,49920,1,4.583094206841305,0.0,0.0,0.0,4.583094206841305,1962.444721826424,1961.6766604619156
2,49920,2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0
2,49920,3,4.583094206841305,0.0,0.0,0.0,4.583094206841305,1962.444721826424,1961.6766604619156
2,49921,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49921,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49921,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49922,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49922,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49922,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49923,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49923,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49923,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49924,1,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
2,49924,2,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
2,49924,3,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
2,49925,1,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
2,49925,2,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
2,49925,3,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
2,49927,1,0.0,0.0,0.0,0.0,0.0,93500.0,93499.99999999997
2,49927,2,0.0,0.0,0.0,0.0,0.0,93500.0,93499.99999999997
2,49927,3,0.0,0.0,0.0,0.0,0.0,93500.0,93499.99999999997
2,49928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49928,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49928,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49929,1,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
2,49929,2,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
2,49929,3,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
2,49930,1,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
2,49930,2,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
2,49930,3,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
2,49931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49931,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49931,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49900,1,137.14214469479026,0.0,0.0,136.79755675258357,137.14214469479026,45.90374164109967,0.0
3,49900,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49900,3,75.89281665948035,0.0,0.0,75.88492872534094,75.89281665948035,-11.470909979868742,0.0
3,49901,1,37.72053987973352,0.0,0.0,37.72053117499176,37.72053987973352,0.0006618976626764956,0.0
3,49901,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
