id,area,timestep,load,load_shedding,power_dumping
121,1,12.0,242.98,0.0,351.02
122,1,12.1,240.35457000000002,0.0,353.64543000000003
123,1,12.2,237.67376000000007,0.0,356.3262400000001
124,1,12.3,235.26978999999994,0.0,358.7302099999999
125,1,12.4,233.47488000000004,0.0,360.52512
126,1,12.5,232.62124999999997,0.0,361.37874999999997
127,1,12.6,233.04112000000003,0.0,360.95888
128,1,12.7,235.06671,0.0,358.93328999999994
129,1,12.8,239.03024,0.0,354.96975999999995
130,1,12.9,245.26393000000002,0.0,348.73607
131,1,13.0,254.1,0.0,339.9
132,1,13.1,262.04797,0.0,331.95203000000004
133,1,13.2,266.12696000000005,0.0,327.87304000000006
134,1,13.3,267.4335899999999,0.0,326.5664099999999
135,1,13.4,267.06448000000006,0.0,326.93552
136,1,13.5,266.11625,0.0,327.88374999999996
137,1,13.6,265.68552000000005,0.0,328.31448
138,1,13.7,266.86890999999997,0.0,327.13109
139,1,13.8,270.76304,0.0,323.23696
140,1,13.9,278.46453,0.0,315.53547000000003
141,1,14.0,291.07,0.0,302.92999999999995
142,1,14.1,305.5485500000001,0.0,288.45144999999997
143,1,14.2,317.8080000000001,0.0,276.192
144,1,14.3,327.35305,0.0,266.64694999999983
145,1,14.4,333.6884,0.0,260.31159999999994
146,1,14.5,336.31874999999997,0.0,257.6812499999999
147,1,14.6,334.7488000000001,0.0,259.2512
148,1,14.7,328.48325,0.0,265.51674999999994
149,1,14.8,317.02680000000004,0.0,276.9732
150,1,14.9,299.88415,0.0,294.11585
151,1,15.0,276.56,0.0,317.44000000000005
152,1,15.1,254.44994,0.0,339.55006000000003
153,1,15.2,240.2619200000001,0.0,353.73808000000014
154,1,15.3,232.46017999999995,0.0,361.53981999999996
155,1,15.4,229.50896,0.0,364.49104
156,1,15.5,229.8725,0.0,364.1275
157,1,15.6,232.01504,0.0,361.98496
158,1,15.7,234.40082,0.0,359.59918
159,1,15.8,235.49408000000005,0.0,358.50592000000006
160,1,15.9,233.75906,0.0,360.2409400000001
161,1,16.0,227.66,0.0,366.34000000000003
162,1,16.1,219.77016000000003,0.0,374.2298400000001
163,1,16.2,213.65848000000005,0.0,380.3415200000001
164,1,16.3,209.28271999999993,0.0,384.71727999999996
165,1,16.4,206.60064000000003,0.0,387.39936000000006
166,1,16.5,205.57,0.0,388.43
167,1,16.6,206.14856,0.0,387.8514400000001
168,1,16.7,208.29408,0.0,385.70592
169,1,16.8,211.96432000000001,0.0,382.03568000000007
170,1,16.9,217.11704,0.0,376.88296
171,1,17.0,223.71,0.0,370.28999999999996
172,1,17.1,227.71140000000003,0.0,366.28860000000003
173,1,17.2,226.54920000000007,0.0,367.4508000000001
174,1,17.3,222.37079999999997,0.0,371.62919999999997
175,1,17.4,217.32360000000003,0.0,376.6764
176,1,17.5,213.555,0.0,380.445
177,1,17.6,213.2124,0.0,380.7876
178,1,17.7,218.4432,0.0,375.55679999999995
179,1,17.8,231.39480000000003,0.0,362.60519999999997
180,1,17.9,254.21460000000002,0.0,339.7854
181,1,18.0,289.05,0.0,304.94999999999993
182,1,18.1,324.8996900000001,0.0,269.1003099999999
183,1,18.2,350.17192000000006,0.0,243.82807999999997
184,1,18.3,366.12843,0.0,227.87156999999988
185,1,18.4,374.03096,0.0,219.96903999999992
