timestep,area,scenario,load,load_shedding,power_dumping
7,1,2,403.4335524266663,0.0,0.0
7,1,3,541.1461265733324,0.0,0.0
7,2,1,0.0,0.0,0.0
7,2,2,0.0,0.0,0.0
7,2,3,0.0,0.0,0.0
7,3,1,495.968363806655,15.056017303258129,0.0
7,3,2,344.6266076099922,0.0,0.0
7,3,3,462.3334884799902,0.0,0.0
8,1,1,560.1154031699982,0.0,0.0
8,1,2,389.2297617866657,0.0,0.0
8,1,3,522.1401289799986,0.0,0.0
8,2,1,0.0,0.0,0.0
8,2,2,0.0,0.0,0.0
8,2,3,0.0,0.0,0.0
8,3,1,496.8265979566633,18.944007717596133,0.0
8,3,2,345.34850536666477,0.0,0.0
8,3,3,463.10050744999717,0.0,0.0
9,1,1,426.2547262899976,0.0,0.0
9,1,2,296.2076993233321,0.0,0.0
9,1,3,397.3198658533313,0.0,0.0
9,2,1,0.0,0.0,0.0
9,2,2,0.0,0.0,0.0
9,2,3,0.0,0.0,0.0
9,3,1,516.6605199533367,18.66153335507791,0.0
9,3,2,359.0546067233353,0.0,0.0
9,3,3,481.61974025000245,0.13143403848964444,0.0
10,1,1,322.41575884000065,0.0,0.0
10,1,2,224.04238274666696,0.0,0.0
10,1,3,300.57770360333404,0.0,0.0
10,2,1,0.0,0.0,0.0
10,2,2,0.0,0.0,0.0
10,2,3,0.0,0.0,0.0
10,3,1,539.0065998766681,12.184226108810783,0.0
10,3,2,374.55273485000095,0.0,0.0
10,3,3,502.4617349133339,0.0,0.0
11,1,1,286.02591492999915,0.0,0.0
11,1,2,198.76222988666615,0.0,0.0
11,1,3,266.6568548933327,0.0,0.0
11,2,1,0.0,0.0,0.0
11,2,2,0.0,0.0,0.0
11,2,3,0.0,0.0,0.0
11,3,1,552.7990441566733,9.799125866235633,0.0
11,3,2,384.1467159666713,0.0,0.0
11,3,3,515.3349945333396,0.0,0.0
12,1,1,266.3926326533323,0.0,0.0
12,1,2,185.07965689666563,0.0,0.0
12,1,3,248.35086752666516,0.0,0.0
12,2,1,0.0,0.0,0.0
12,2,2,0.0,0.0,0.0
12,2,3,0.0,0.0,0.0
12,3,1,554.7540686366616,4.866270459986608,0.0
12,3,2,385.52065749666235,0.0,0.0
12,3,3,517.1621833866608,0.0,0.0
13,1,1,264.0899965733371,0.0,0.0
13,1,2,183.53798760666908,0.0,0.0
13,1,3,246.16996683333662,0.0,0.0
13,2,1,0.0,0.0,0.0
13,2,2,0.0,0.0,0.0
13,2,3,0.0,0.0,0.0
13,3,1,555.5109973166644,2.238284583756864,0.0
13,3,2,386.04347664999875,0.0,0.0
13,3,3,517.8666622399973,0.0,0.0
14,1,1,269.66500287666236,0.0,0.0
14,1,2,187.38627547333033,0.0,0.0
14,1,3,251.37042724999634,0.0,0.0
14,2,1,0.0,0.0,0.0
14,2,2,0.0,0.0,0.0
14,2,3,0.0,0.0,0.0
14,3,1,563.1071132100076,5.976495474052844,0.0
14,3,2,391.30417025667214,0.0,0.0
14,3,3,524.930893520007,0.0,0.0
15,1,1,309.82532843000405,0.0,0.0
15,1,2,215.30253734667005,0.0,0.0
15,1,3,288.8269082433375,0.0,0.0
15,2,1,0.0,0.0,0.0
15,2,2,0.0,0.0,0.0
15,2,3,0.0,0.0,0.0
15,3,1,571.4185622199927,13.612164961974365,0.0
15,3,2,397.09317503332767,0.0,0.0
15,3,3,532.6882517866596,0.0,0.0
16,1,1,429.03815506333467,0.0,0.0
16,1,2,298.16926701333455,0.0,0.0
16,1,3,399.9901793100018,0.0,0.0
16,2,1,0.0,0.0,0.0
16,2,2,0.0,0.0,0.0
