id,area,scenario,timestep,timestep_fractional,load,load_shedding,power_dumping
92,1,1,2,1.5167,479.2789280000001,0.0,0.0037941728395027223
93,1,1,2,1.5333,479.1654761481482,0.0,0.002820839506170274
94,1,1,2,1.55,479.00180800000015,0.0,0.0020479999999981377
95,1,1,2,1.5667,478.7834435555557,0.0,0.0014460246913567101
96,1,1,2,1.5833,478.5092592592594,0.0,0.0009876543209867566
97,1,1,2,1.6,478.18148800000006,0.0,0.0006479999999994107
98,1,1,2,1.6167,477.80571911111116,0.0,0.0004045432098761753
99,1,1,2,1.6333,477.3908983703704,0.0,0.00023713580246892014
100,1,1,2,1.65,476.94932800000015,0.0,0.0001279999999998836
101,1,1,2,1.6667,476.49666666666667,0.0,6.172839506167229e-5
102,1,1,2,1.6833,476.05192948148147,0.0,2.5283950617260973e-5
103,1,1,2,1.7,475.637488,0.0,7.999999999992717e-6
104,1,1,2,1.7167,475.27907022222223,0.0,1.5802469135788083e-6
105,1,1,2,1.7333,475.0057605925926,0.0,9.876543209867552e-8
106,1,1,2,1.75,474.85,0.0,0.0
107,1,1,2,1.7667,474.73190893827166,0.0,0.0021680987654424514
108,1,1,2,1.7833,474.56876819753097,0.0,0.00347180246915238
109,1,1,2,1.8,474.38094400000017,0.0,0.004096000000019559
110,1,1,2,1.8167,474.18569264197544,0.0,0.004206617283970704
111,1,1,2,1.8333,473.99716049382727,0.0,0.003950617283969482
112,1,1,2,1.85,473.8263840000001,0.0,0.003456000000016502
113,1,1,2,1.8667,473.6812896790123,0.0,0.0028318024691493236
114,1,1,2,1.8833,473.56669412345684,0.0,0.0021680987654424514
115,1,1,2,1.9,473.48430400000007,0.0,0.0015360000000073347
116,1,1,2,1.9167,473.43271604938275,0.0,0.0009876543209923704
117,1,1,2,1.9333,473.40741708641985,0.0,0.0005562469135829032
118,1,1,2,1.95,473.40078400000004,0.0,0.0002560000000012222
119,1,1,2,1.9667,473.4020837530864,0.0,8.217283950656516e-5
120,1,1,2,1.9833,473.39747338271604,0.0,1.106172839511454e-5
121,1,1,2,2.0,473.37,0.0,0.0
122,1,1,3,2.0167,473.3122070123457,0.0,0.0
123,1,1,3,2.0333,473.23597293827163,0.0,0.0
124,1,1,3,2.05,473.1425280000001,0.0,0.0
125,1,1,3,2.0667,473.0324529382717,0.0,0.0
126,1,1,3,2.0833,472.90567901234584,0.0,0.0
127,1,1,3,2.1,472.76148800000004,0.0,0.0
128,1,1,3,2.1167,472.5985121975308,0.0,0.0
129,1,1,3,2.1333,472.4147344197531,0.0,0.0
130,1,1,3,2.15,472.20748800000007,0.0,0.0
131,1,1,3,2.1667,471.97345679012346,0.0,0.0
132,1,1,3,2.1833,471.70867516049384,0.0,0.0
133,1,1,3,2.2,471.40852800000005,0.0,0.0
134,1,1,3,2.2167,471.06775071604943,0.0,0.0
135,1,1,3,2.2333,470.6804292345679,0.0,0.0
136,1,1,3,2.25,470.24,0.0,0.0
137,1,1,3,2.2667,469.8089667160494,0.0,9.876543209979844e-8
138,1,1,3,2.2833,469.44788227160495,0.0,1.5802469135967751e-6
139,1,1,3,2.3,469.1471040000002,0.0,8.000000000083675e-6
140,1,1,3,2.3167,468.8974348641977,0.0,2.5283950617548402e-5
141,1,1,3,2.3333,468.69012345679016,0.0,6.172839506237401e-5
142,1,1,3,2.35,468.5168640000001,0.0,0.0001280000000013388
