id,plant_id,timestep,timestep_fractional,production,area,fuel_type,status,startup
41,1,4.0,4.0,20.0,1,Thermal,1,0
42,1,5.0,4.1,20.000000000000004,1,Thermal,1,0
43,1,5.0,4.2,20.000000000000007,1,Thermal,1,0
44,1,5.0,4.3,19.999999999999996,1,Thermal,1,0
45,1,5.0,4.4,20.000000000000004,1,Thermal,1,0
46,1,5.0,4.5,20.0,1,Thermal,1,0
47,1,5.0,4.6,20.0,1,Thermal,1,0
48,1,5.0,4.7,20.0,1,Thermal,1,0
49,1,5.0,4.8,20.0,1,Thermal,1,0
50,1,5.0,4.9,20.0,1,Thermal,1,0
51,1,5.0,5.0,20.0,1,Thermal,1,0
52,1,6.0,5.1,20.000000000000004,1,Thermal,1,0
53,1,6.0,5.2,20.000000000000007,1,Thermal,1,0
54,1,6.0,5.3,19.999999999999996,1,Thermal,1,0
55,1,6.0,5.4,20.000000000000004,1,Thermal,1,0
56,1,6.0,5.5,20.0,1,Thermal,1,0
57,1,6.0,5.6,20.0,1,Thermal,1,0
58,1,6.0,5.7,20.0,1,Thermal,1,0
59,1,6.0,5.8,20.0,1,Thermal,1,0
60,1,6.0,5.9,20.0,1,Thermal,1,0
61,1,6.0,6.0,20.0,1,Thermal,1,0
62,1,7.0,6.1,20.000000000000004,1,Thermal,1,0
63,1,7.0,6.2,20.000000000000007,1,Thermal,1,0
64,1,7.0,6.3,19.999999999999996,1,Thermal,1,0
65,1,7.0,6.4,20.000000000000004,1,Thermal,1,0
66,1,7.0,6.5,20.0,1,Thermal,1,0
67,1,7.0,6.6,20.0,1,Thermal,1,0
68,1,7.0,6.7,20.0,1,Thermal,1,0
69,1,7.0,6.8,20.0,1,Thermal,1,0
70,1,7.0,6.9,20.0,1,Thermal,1,0
71,1,7.0,7.0,20.0,1,Thermal,1,0
72,1,8.0,7.1,20.000000000000004,1,Thermal,1,0
73,1,8.0,7.2,20.000000000000007,1,Thermal,1,0
74,1,8.0,7.3,19.999999999999996,1,Thermal,1,0
75,1,8.0,7.4,20.000000000000004,1,Thermal,1,0
76,1,8.0,7.5,20.0,1,Thermal,1,0
77,1,8.0,7.6,20.0,1,Thermal,1,0
78,1,8.0,7.7,20.0,1,Thermal,1,0
79,1,8.0,7.8,20.0,1,Thermal,1,0
80,1,8.0,7.9,20.0,1,Thermal,1,0
81,1,8.0,8.0,20.0,1,Thermal,1,0
82,1,9.0,8.1,20.000000000000004,1,Thermal,1,0
83,1,9.0,8.2,20.000000000000007,1,Thermal,1,0
84,1,9.0,8.3,19.999999999999996,1,Thermal,1,0
85,1,9.0,8.4,20.000000000000004,1,Thermal,1,0
86,1,9.0,8.5,20.0,1,Thermal,1,0
87,1,9.0,8.6,20.0,1,Thermal,1,0
88,1,9.0,8.7,20.0,1,Thermal,1,0
89,1,9.0,8.8,20.0,1,Thermal,1,0
90,1,9.0,8.9,20.0,1,Thermal,1,0
91,1,9.0,9.0,20.0,1,Thermal,1,0
92,1,10.0,9.1,20.000000000000004,1,Thermal,1,0
93,1,10.0,9.2,20.000000000000007,1,Thermal,1,0
94,1,10.0,9.3,19.999999999999996,1,Thermal,1,0
95,1,10.0,9.4,20.000000000000004,1,Thermal,1,0
96,1,10.0,9.5,20.0,1,Thermal,1,0
