id,areas_fk,plant_id,timestep,b,scenario,area,fuel_type,production,up_activation,down_activation
225,1,49900,1,4,3,3,Hydro,0.0,0.0,0.0
226,1,49901,1,0,1,3,Hydro,0.0,0.0,0.0
227,1,49901,1,0,2,3,Hydro,0.0,0.0,0.0
228,1,49901,1,0,3,3,Hydro,0.0,0.0,0.0
229,1,49901,1,1,1,3,Hydro,0.0,0.0,0.0
230,1,49901,1,1,2,3,Hydro,0.0,0.0,0.0
231,1,49901,1,1,3,3,Hydro,0.0,0.0,0.0
232,1,49901,1,2,1,3,Hydro,0.0,0.0,0.0
233,1,49901,1,2,2,3,Hydro,0.0,0.0,0.0
234,1,49901,1,2,3,3,Hydro,0.0,0.0,0.0
235,1,49901,1,3,1,3,Hydro,0.0,0.0,0.0
236,1,49901,1,3,2,3,Hydro,0.0,0.0,0.0
237,1,49901,1,3,3,3,Hydro,0.0,0.0,0.0
238,1,49901,1,4,1,3,Hydro,1.62,0.0,0.0
239,1,49901,1,4,2,3,Hydro,0.0,0.0,1.62
240,1,49901,1,4,3,3,Hydro,1.62,0.0,0.0
241,1,49902,1,0,1,3,Hydro,0.0,0.0,0.0
242,1,49902,1,0,2,3,Hydro,0.0,0.0,0.0
243,1,49902,1,0,3,3,Hydro,0.0,0.0,0.0
244,1,49902,1,1,1,3,Hydro,0.0,0.0,0.0
245,1,49902,1,1,2,3,Hydro,0.0,0.0,0.0
246,1,49902,1,1,3,3,Hydro,0.0,0.0,0.0
247,1,49902,1,2,1,3,Hydro,0.0,0.0,0.0
248,1,49902,1,2,2,3,Hydro,0.0,0.0,0.0
249,1,49902,1,2,3,3,Hydro,0.0,0.0,0.0
250,1,49902,1,3,1,3,Hydro,0.0,0.0,0.0
251,1,49902,1,3,2,3,Hydro,0.0,0.0,0.0
252,1,49902,1,3,3,3,Hydro,0.0,0.0,0.0
253,1,49902,1,4,1,3,Hydro,1.97,0.0,0.0
254,1,49902,1,4,2,3,Hydro,0.0,0.0,1.97
255,1,49902,1,4,3,3,Hydro,1.97,0.0,0.0
256,1,49903,1,0,1,3,Hydro,0.0,0.0,0.0
257,1,49903,1,0,2,3,Hydro,0.0,0.0,0.0
258,1,49903,1,0,3,3,Hydro,0.0,0.0,0.0
259,1,49903,1,1,1,3,Hydro,0.0,0.0,0.0
260,1,49903,1,1,2,3,Hydro,0.0,0.0,0.0
261,1,49903,1,1,3,3,Hydro,0.0,0.0,0.0
262,1,49903,1,2,1,3,Hydro,0.0,0.0,0.0
263,1,49903,1,2,2,3,Hydro,0.0,0.0,0.0
264,1,49903,1,2,3,3,Hydro,0.0,0.0,0.0
265,1,49903,1,3,1,3,Hydro,0.0,0.0,0.0
266,1,49903,1,3,2,3,Hydro,0.0,0.0,0.0
267,1,49903,1,3,3,3,Hydro,0.0,0.0,0.0
268,1,49903,1,4,1,3,Hydro,0.0,0.0,0.0
269,1,49903,1,4,2,3,Hydro,0.0,0.0,0.0
270,1,49903,1,4,3,3,Hydro,0.0,0.0,0.0
271,1,49904,1,0,1,3,Hydro,0.0,0.0,0.0
272,1,49904,1,0,2,3,Hydro,0.0,0.0,0.0
273,1,49904,1,0,3,3,Hydro,0.0,0.0,0.0
274,1,49904,1,1,1,3,Hydro,0.0,0.0,0.0
275,1,49904,1,1,2,3,Hydro,0.0,0.0,0.0
276,1,49904,1,1,3,3,Hydro,0.0,0.0,0.0
277,1,49904,1,2,1,3,Hydro,0.0,0.0,0.0
278,1,49904,1,2,2,3,Hydro,0.0,0.0,0.0
279,1,49904,1,2,3,3,Hydro,0.0,0.0,0.0
280,1,49904,1,3,1,3,Hydro,0.0,0.0,0.0
281,1,49904,1,3,2,3,Hydro,0.0,0.0,0.0
282,1,49904,1,3,3,3,Hydro,0.0,0.0,0.0
283,1,49904,1,4,1,3,Hydro,0.0,0.0,0.0
284,1,49904,1,4,2,3,Hydro,0.0,0.0,0.0
285,1,49904,1,4,3,3,Hydro,0.0,0.0,0.0
286,1,49905,1,0,1,3,Hydro,0.0,0.0,0.0
287,1,49905,1,0,2,3,Hydro,0.0,0.0,0.0
288,1,49905,1,0,3,3,Hydro,0.0,0.0,0.0
289,1,49905,1,1,1,3,Hydro,0.0,0.0,0.0
290,1,49905,1,1,2,3,Hydro,0.0,0.0,0.0
291,1,49905,1,1,3,3,Hydro,0.0,0.0,0.0
292,1,49905,1,2,1,3,Hydro,0.0,0.0,0.0
293,1,49905,1,2,2,3,Hydro,0.0,0.0,0.0
294,1,49905,1,2,3,3,Hydro,0.0,0.0,0.0
295,1,49905,1,3,1,3,Hydro,0.0,0.0,0.0
296,1,49905,1,3,2,3,Hydro,0.0,0.0,0.0
297,1,49905,1,3,3,3,Hydro,0.0,0.0,0.0
298,1,49905,1,4,1,3,Hydro,0.0,0.0,0.0
299,1,49905,1,4,2,3,Hydro,0.0,0.0,0.0
300,1,49905,1,4,3,3,Hydro,0.0,0.0,0.0
301,1,49906,1,0,1,3,Hydro,123.97,123.97,0.0
302,1,49906,1,0,2,3,Hydro,0.0,0.0,0.0
303,1,49906,1,0,3,3,Hydro,123.97,123.97,0.0
304,1,49906,1,1,1,3,Hydro,123.97,123.97,0.0
305,1,49906,1,1,2,3,Hydro,0.0,0.0,0.0
306,1,49906,1,1,3,3,Hydro,79.99,79.99,0.0
307,1,49906,1,2,1,3,Hydro,123.97,123.97,0.0
308,1,49906,1,2,2,3,Hydro,0.0,0.0,0.0
309,1,49906,1,2,3,3,Hydro,109.38,109.38,0.0
310,1,49906,1,3,1,3,Hydro,111.25,111.25,0.0
311,1,49906,1,3,2,3,Hydro,0.0,0.0,0.0
312,1,49906,1,3,3,3,Hydro,63.15,63.15,0.0
313,1,49906,1,4,1,3,Hydro,123.97,123.97,0.0
314,1,49906,1,4,2,3,Hydro,0.0,0.0,0.0
315,1,49906,1,4,3,3,Hydro,77.91,77.91,0.0
316,1,49907,1,0,1,3,Hydro,0.0,0.0,0.0
317,1,49907,1,0,2,3,Hydro,0.0,0.0,0.0
318,1,49907,1,0,3,3,Hydro,0.0,0.0,0.0
319,1,49907,1,1,1,3,Hydro,0.0,0.0,0.0
320,1,49907,1,1,2,3,Hydro,0.0,0.0,0.0
321,1,49907,1,1,3,3,Hydro,0.0,0.0,0.0
322,1,49907,1,2,1,3,Hydro,0.0,0.0,0.0
323,1,49907,1,2,2,3,Hydro,0.0,0.0,0.0
324,1,49907,1,2,3,3,Hydro,0.0,0.0,0.0
325,1,49907,1,3,1,3,Hydro,0.0,0.0,0.0
326,1,49907,1,3,2,3,Hydro,0.0,0.0,0.0
327,1,49907,1,3,3,3,Hydro,0.0,0.0,0.0
328,1,49907,1,4,1,3,Hydro,0.0,0.0,0.0
329,1,49907,1,4,2,3,Hydro,0.0,0.0,0.0
330,1,49907,1,4,3,3,Hydro,0.0,0.0,0.0
331,1,49908,1,0,1,3,Hydro,0.0,0.0,0.0
332,1,49908,1,0,2,3,Hydro,0.0,0.0,0.0
333,1,49908,1,0,3,3,Hydro,0.0,0.0,0.0
334,1,49908,1,1,1,3,Hydro,0.0,0.0,0.0
335,1,49908,1,1,2,3,Hydro,0.0,0.0,0.0
336,1,49908,1,1,3,3,Hydro,0.0,0.0,0.0
337,1,49908,1,2,1,3,Hydro,0.0,0.0,0.0
338,1,49908,1,2,2,3,Hydro,0.0,0.0,0.0
339,1,49908,1,2,3,3,Hydro,0.0,0.0,0.0
340,1,49908,1,3,1,3,Hydro,0.0,0.0,0.0
341,1,49908,1,3,2,3,Hydro,0.0,0.0,0.0
342,1,49908,1,3,3,3,Hydro,0.0,0.0,0.0
343,1,49908,1,4,1,3,Hydro,0.0,0.0,0.0
344,1,49908,1,4,2,3,Hydro,0.0,0.0,0.0
345,1,49908,1,4,3,3,Hydro,0.0,0.0,0.0
346,1,49911,1,0,1,3,Hydro,0.0,0.0,0.0
347,1,49911,1,0,2,3,Hydro,0.0,0.0,0.0
348,1,49911,1,0,3,3,Hydro,0.0,0.0,0.0
349,1,49911,1,1,1,3,Hydro,0.0,0.0,0.0
350,1,49911,1,1,2,3,Hydro,0.0,0.0,0.0
351,1,49911,1,1,3,3,Hydro,0.0,0.0,0.0
352,1,49911,1,2,1,3,Hydro,0.0,0.0,0.0
353,1,49911,1,2,2,3,Hydro,0.0,0.0,0.0
354,1,49911,1,2,3,3,Hydro,0.0,0.0,0.0
355,1,49911,1,3,1,3,Hydro,0.0,0.0,0.0
356,1,49911,1,3,2,3,Hydro,0.0,0.0,0.0
357,1,49911,1,3,3,3,Hydro,0.0,0.0,0.0
358,1,49911,1,4,1,3,Hydro,0.0,0.0,0.0
359,1,49911,1,4,2,3,Hydro,0.0,0.0,0.0
360,1,49911,1,4,3,3,Hydro,0.0,0.0,0.0
361,1,49912,1,0,1,3,Hydro,0.0,0.0,0.0
362,1,49912,1,0,2,3,Hydro,0.0,0.0,0.0
363,1,49912,1,0,3,3,Hydro,0.0,0.0,0.0
364,1,49912,1,1,1,3,Hydro,0.0,0.0,0.0
365,1,49912,1,1,2,3,Hydro,0.0,0.0,0.0
366,1,49912,1,1,3,3,Hydro,0.0,0.0,0.0
367,1,49912,1,2,1,3,Hydro,0.0,0.0,0.0
368,1,49912,1,2,2,3,Hydro,0.0,0.0,0.0
369,1,49912,1,2,3,3,Hydro,0.0,0.0,0.0
