id,scenario,line_id,timestep,timestep_fractional,area_from,area_to,transmission
360,1,1,6,5.9833,1,2,0.0
361,1,1,6,6.0,1,2,0.0
362,1,1,7,6.0167,1,2,0.0
363,1,1,7,6.0333,1,2,0.0
364,1,1,7,6.05,1,2,0.0
365,1,1,7,6.0667,1,2,0.0
366,1,1,7,6.0833,1,2,0.0
367,1,1,7,6.1,1,2,0.0
368,1,1,7,6.1167,1,2,0.0
369,1,1,7,6.1333,1,2,0.0
370,1,1,7,6.15,1,2,0.0
371,1,1,7,6.1667,1,2,0.0
372,1,1,7,6.1833,1,2,0.0
373,1,1,7,6.2,1,2,0.0
374,1,1,7,6.2167,1,2,0.0
375,1,1,7,6.2333,1,2,0.0
376,1,1,7,6.25,1,2,0.0
377,1,1,7,6.2667,1,2,0.0
378,1,1,7,6.2833,1,2,0.0
379,1,1,7,6.3,1,2,0.0
380,1,1,7,6.3167,1,2,0.0
381,1,1,7,6.3333,1,2,0.0
382,1,1,7,6.35,1,2,0.0
383,1,1,7,6.3667,1,2,0.0
384,1,1,7,6.3833,1,2,0.0
385,1,1,7,6.4,1,2,0.0
386,1,1,7,6.4167,1,2,0.0
387,1,1,7,6.4333,1,2,0.0
388,1,1,7,6.45,1,2,0.0
389,1,1,7,6.4667,1,2,0.0
390,1,1,7,6.4833,1,2,0.0
391,1,1,7,6.5,1,2,0.0
392,1,1,7,6.5167,1,2,0.0
393,1,1,7,6.5333,1,2,0.0
394,1,1,7,6.55,1,2,0.0
395,1,1,7,6.5667,1,2,0.0
396,1,1,7,6.5833,1,2,0.0
397,1,1,7,6.6,1,2,0.0
398,1,1,7,6.6167,1,2,0.0
399,1,1,7,6.6333,1,2,0.0
400,1,1,7,6.65,1,2,0.0
401,1,1,7,6.6667,1,2,0.0
402,1,1,7,6.6833,1,2,0.0
403,1,1,7,6.7,1,2,0.0
404,1,1,7,6.7167,1,2,0.0
405,1,1,7,6.7333,1,2,0.0
406,1,1,7,6.75,1,2,0.0
407,1,1,7,6.7667,1,2,0.0
408,1,1,7,6.7833,1,2,0.0
409,1,1,7,6.8,1,2,0.0
410,1,1,7,6.8167,1,2,0.0
411,1,1,7,6.8333,1,2,0.0
412,1,1,7,6.85,1,2,0.0
413,1,1,7,6.8667,1,2,0.0
414,1,1,7,6.8833,1,2,0.0
415,1,1,7,6.9,1,2,0.0
416,1,1,7,6.9167,1,2,0.0
417,1,1,7,6.9333,1,2,0.0
418,1,1,7,6.95,1,2,0.0
419,1,1,7,6.9667,1,2,0.0
420,1,1,7,6.9833,1,2,0.0
421,1,1,7,7.0,1,2,0.0
422,1,1,8,7.0167,1,2,0.0
423,1,1,8,7.0333,1,2,0.0
424,1,1,8,7.05,1,2,0.0
425,1,1,8,7.0667,1,2,0.0
426,1,1,8,7.0833,1,2,0.0
427,1,1,8,7.1,1,2,0.0
428,1,1,8,7.1167,1,2,0.0
429,1,1,8,7.1333,1,2,0.0
430,1,1,8,7.15,1,2,0.0
431,1,1,8,7.1667,1,2,0.0
432,1,1,8,7.1833,1,2,0.0
433,1,1,8,7.2,1,2,0.0
434,1,1,8,7.2167,1,2,0.0
435,1,1,8,7.2333,1,2,0.0
436,1,1,8,7.25,1,2,0.0
437,1,1,8,7.2667,1,2,0.0
438,1,1,8,7.2833,1,2,0.0
439,1,1,8,7.3,1,2,0.0
440,1,1,8,7.3167,1,2,0.0
441,1,1,8,7.3333,1,2,0.0
442,1,1,8,7.35,1,2,0.0
443,1,1,8,7.3667,1,2,0.0
444,1,1,8,7.3833,1,2,0.0
445,1,1,8,7.4,1,2,0.0
446,1,1,8,7.4167,1,2,0.0
447,1,1,8,7.4333,1,2,0.0
448,1,1,8,7.45,1,2,0.0
449,1,1,8,7.4667,1,2,0.0
450,1,1,8,7.4833,1,2,0.0
451,1,1,8,7.5,1,2,0.0
452,1,1,8,7.5167,1,2,0.0
453,1,1,8,7.5333,1,2,0.0
454,1,1,8,7.55,1,2,0.0
455,1,1,8,7.5667,1,2,0.0
456,1,1,8,7.5833,1,2,0.0
457,1,1,8,7.6,1,2,0.0
458,1,1,8,7.6167,1,2,0.0
459,1,1,8,7.6333,1,2,0.0
460,1,1,8,7.65,1,2,0.0
461,1,1,8,7.6667,1,2,0.0
462,1,1,8,7.6833,1,2,0.0
463,1,1,8,7.7,1,2,0.0
464,1,1,8,7.7167,1,2,0.0
465,1,1,8,7.7333,1,2,0.0
466,1,1,8,7.75,1,2,0.0
467,1,1,8,7.7667,1,2,0.0
468,1,1,8,7.7833,1,2,0.0
469,1,1,8,7.8,1,2,0.0
470,1,1,8,7.8167,1,2,0.0
471,1,1,8,7.8333,1,2,0.0
472,1,1,8,7.85,1,2,0.0
473,1,1,8,7.8667,1,2,0.0
474,1,1,8,7.8833,1,2,0.0
475,1,1,8,7.9,1,2,0.0
476,1,1,8,7.9167,1,2,0.0
477,1,1,8,7.9333,1,2,0.0
478,1,1,8,7.95,1,2,0.0
479,1,1,8,7.9667,1,2,0.0
480,1,1,8,7.9833,1,2,0.0
481,1,1,8,8.0,1,2,0.0
482,1,1,9,8.0167,1,2,0.02
483,1,1,9,8.0333,1,2,0.06
484,1,1,9,8.05,1,2,0.15
485,1,1,9,8.0667,1,2,0.28
486,1,1,9,8.0833,1,2,0.44
487,1,1,9,8.1,1,2,0.66
488,1,1,9,8.1167,1,2,0.92
489,1,1,9,8.1333,1,2,1.23
490,1,1,9,8.15,1,2,1.59
491,1,1,9,8.1667,1,2,2.01
492,1,1,9,8.1833,1,2,2.48
493,1,1,9,8.2,1,2,3.0
494,1,1,9,8.2167,1,2,3.58
495,1,1,9,8.2333,1,2,4.21
496,1,1,9,8.25,1,2,4.89
497,1,1,9,8.2667,1,2,5.63
498,1,1,9,8.2833,1,2,6.42
499,1,1,9,8.3,1,2,7.25
500,1,1,9,8.3167,1,2,8.14
501,1,1,9,8.3333,1,2,9.07
502,1,1,9,8.35,1,2,10.04
503,1,1,9,8.3667,1,2,11.06
504,1,1,9,8.3833,1,2,12.11
505,1,1,9,8.4,1,2,13.19
506,1,1,9,8.4167,1,2,14.3
507,1,1,9,8.4333,1,2,15.44
508,1,1,9,8.45,1,2,16.6
509,1,1,9,8.4667,1,2,17.78
510,1,1,9,8.4833,1,2,18.96
511,1,1,9,8.5,1,2,20.15
512,1,1,9,8.5167,1,2,21.34
513,1,1,9,8.5333,1,2,22.52
514,1,1,9,8.55,1,2,23.68
515,1,1,9,8.5667,1,2,24.83
516,1,1,9,8.5833,1,2,25.94
517,1,1,9,8.6,1,2,27.02
518,1,1,9,8.6167,1,2,28.06
519,1,1,9,8.6333,1,2,29.04
520,1,1,9,8.65,1,2,29.96
521,1,1,9,8.6667,1,2,30.81
522,1,1,9,8.6833,1,2,31.58
523,1,1,9,8.7,1,2,32.26
524,1,1,9,8.7167,1,2,32.83
525,1,1,9,8.7333,1,2,33.3
526,1,1,9,8.75,1,2,33.65
527,1,1,9,8.7667,1,2,33.87
528,1,1,9,8.7833,1,2,33.94
