timestep,plant_id,scenario,production,up_activation,down_activation,area,fuel_type,status,startup
2,49908,2,0.0,0.0,0.0,3,Hydro,0,0
2,49908,3,0.0,0.0,0.0,3,Hydro,0,0
2,49911,1,0.0,0.0,0.0,3,Hydro,0,0
2,49911,2,0.0,0.0,0.0,3,Hydro,0,0
2,49911,3,0.0,0.0,0.0,3,Hydro,0,0
2,49912,1,0.0,0.0,0.0,3,Hydro,0,0
2,49912,2,0.0,0.0,0.0,3,Hydro,0,0
2,49912,3,0.0,0.0,0.0,3,Hydro,0,0
2,49913,1,0.0,0.0,0.0,3,Hydro,0,0
2,49913,2,0.0,0.0,0.0,3,Hydro,0,0
2,49913,3,0.0,0.0,0.0,3,Hydro,0,0
2,49914,1,0.0,0.0,0.0,3,Hydro,0,0
2,49914,2,0.0,0.0,0.0,3,Hydro,0,0
2,49914,3,0.0,0.0,0.0,3,Hydro,0,0
2,49915,1,0.0,0.0,0.0,3,Hydro,0,0
2,49915,2,0.0,0.0,0.0,3,Hydro,0,0
2,49915,3,0.0,0.0,0.0,3,Hydro,0,0
2,49920,1,3.81,3.811350000000011,0.0,3,Hydro,0,0
2,49920,2,0.0,0.0,0.0,3,Hydro,0,0
2,49920,3,3.81,3.811350000000011,0.0,3,Hydro,0,0
2,49921,1,0.0,0.0,0.0,3,Hydro,0,0
2,49921,2,0.0,0.0,0.0,3,Hydro,0,0
2,49921,3,0.0,0.0,0.0,3,Hydro,0,0
2,49922,1,0.0,0.0,0.0,3,Hydro,0,0
2,49922,2,0.0,0.0,0.0,3,Hydro,0,0
2,49922,3,0.0,0.0,0.0,3,Hydro,0,0
2,49923,1,0.0,0.0,0.0,3,Hydro,0,0
2,49923,2,0.0,0.0,0.0,3,Hydro,0,0
2,49923,3,0.0,0.0,0.0,3,Hydro,0,0
2,49924,1,0.0,0.0,0.0,3,Hydro,0,0
2,49924,2,0.0,0.0,0.0,3,Hydro,0,0
2,49924,3,0.0,0.0,0.0,3,Hydro,0,0
2,49925,1,0.0,0.0,0.0,3,Hydro,0,0
2,49925,2,0.0,0.0,0.0,3,Hydro,0,0
