scenario;area;timestep;load;timestep_fractional
0;1;46;454.2;3.7667
0;1;46;454.2;3.7833
0;1;46;454.2;3.8
0;1;46;454.2;3.8167
0;1;46;454.2;3.8333
0;1;47;454.6;3.85
0;1;47;454.6;3.8667
0;1;47;454.6;3.8833
0;1;47;454.6;3.9
0;1;47;454.6;3.9167
0;1;48;454;3.9333
0;1;48;454;3.95
0;1;48;454;3.9667
0;1;48;454;3.9833
0;1;48;454;4
0;1;49;453.8;4.0167
0;1;49;453.8;4.0333
0;1;49;453.8;4.05
0;1;49;453.8;4.0667
0;1;49;453.8;4.0833
0;1;50;454.8;4.1
0;1;50;454.8;4.1167
0;1;50;454.8;4.1333
0;1;50;454.8;4.15
0;1;50;454.8;4.1667
0;1;51;455.8;4.1833
0;1;51;455.8;4.2
0;1;51;455.8;4.2167
0;1;51;455.8;4.2333
0;1;51;455.8;4.25
0;1;52;456.1;4.2667
0;1;52;456.1;4.2833
0;1;52;456.1;4.3
0;1;52;456.1;4.3167
0;1;52;456.1;4.3333
0;1;53;455.8;4.35
0;1;53;455.8;4.3667
0;1;53;455.8;4.3833
0;1;53;455.8;4.4
0;1;53;455.8;4.4167
0;1;54;454.6;4.4333
0;1;54;454.6;4.45
0;1;54;454.6;4.4667
0;1;54;454.6;4.4833
0;1;54;454.6;4.5
0;1;55;453.7;4.5167
0;1;55;453.7;4.5333
0;1;55;453.7;4.55
0;1;55;453.7;4.5667
0;1;55;453.7;4.5833
0;1;56;454.8;4.6
0;1;56;454.8;4.6167
0;1;56;454.8;4.6333
0;1;56;454.8;4.65
0;1;56;454.8;4.6667
0;1;57;456.1;4.6833
0;1;57;456.1;4.7
0;1;57;456.1;4.7167
0;1;57;456.1;4.7333
0;1;57;456.1;4.75
0;1;58;457.9;4.7667
0;1;58;457.9;4.7833
0;1;58;457.9;4.8
0;1;58;457.9;4.8167
0;1;58;457.9;4.8333
0;1;59;459.6;4.85
0;1;59;459.6;4.8667
0;1;59;459.6;4.8833
0;1;59;459.6;4.9
0;1;59;459.6;4.9167
0;1;60;460.5;4.9333
0;1;60;460.5;4.95
0;1;60;460.5;4.9667
0;1;60;460.5;4.9833
0;1;60;460.5;5
0;1;61;461.2;5.0167
0;1;61;461.2;5.0333
0;1;61;461.2;5.05
0;1;61;461.2;5.0667
0;1;61;461.2;5.0833
0;1;62;464.4;5.1
0;1;62;464.4;5.1167
0;1;62;464.4;5.1333
0;1;62;464.4;5.15
0;1;62;464.4;5.1667
0;1;63;468.1;5.1833
0;1;63;468.1;5.2
0;1;63;468.1;5.2167
0;1;63;468.1;5.2333
0;1;63;468.1;5.25
0;1;64;469.6;5.2667
0;1;64;469.6;5.2833
0;1;64;469.6;5.3
0;1;64;469.6;5.3167
0;1;64;469.6;5.3333
0;1;65;469.8;5.35
0;1;65;469.8;5.3667
0;1;65;469.8;5.3833
0;1;65;469.8;5.4
0;1;65;469.8;5.4167
0;1;66;471.1;5.4333
0;1;66;471.1;5.45
0;1;66;471.1;5.4667
0;1;66;471.1;5.4833
0;1;66;471.1;5.5
0;1;67;472;5.5167
0;1;67;472;5.5333
0;1;67;472;5.55
0;1;67;472;5.5667
0;1;67;472;5.5833
0;1;68;473.5;5.6
0;1;68;473.5;5.6167
0;1;68;473.5;5.6333
0;1;68;473.5;5.65
0;1;68;473.5;5.6667
0;1;69;475.3;5.6833
0;1;69;475.3;5.7
0;1;69;475.3;5.7167
0;1;69;475.3;5.7333
0;1;69;475.3;5.75
0;1;70;476.3;5.7667
0;1;70;476.3;5.7833
0;1;70;476.3;5.8
0;1;70;476.3;5.8167
0;1;70;476.3;5.8333
0;1;71;477.1;5.85
0;1;71;477.1;5.8667
0;1;71;477.1;5.8833
0;1;71;477.1;5.9
0;1;71;477.1;5.9167
0;1;72;478.2;5.9333
0;1;72;478.2;5.95
0;1;72;478.2;5.9667
0;1;72;478.2;5.9833
0;1;72;478.2;6
0;1;73;479.1;6.0167
0;1;73;479.1;6.0333
0;1;73;479.1;6.05
0;1;73;479.1;6.0667
0;1;73;479.1;6.0833
0;1;74;483;6.1
0;1;74;483;6.1167
0;1;74;483;6.1333
0;1;74;483;6.15
0;1;74;483;6.1667
0;1;75;487.7;6.1833
0;1;75;487.7;6.2
0;1;75;487.7;6.2167
0;1;75;487.7;6.2333
0;1;75;487.7;6.25
0;1;76;490.1;6.2667
0;1;76;490.1;6.2833
0;1;76;490.1;6.3
0;1;76;490.1;6.3167
0;1;76;490.1;6.3333
0;1;77;491.9;6.35
0;1;77;491.9;6.3667
0;1;77;491.9;6.3833
0;1;77;491.9;6.4
0;1;77;491.9;6.4167
0;1;78;493.2;6.4333
0;1;78;493.2;6.45
0;1;78;493.2;6.4667
0;1;78;493.2;6.4833
0;1;78;493.2;6.5
0;1;79;494.2;6.5167
0;1;79;494.2;6.5333
0;1;79;494.2;6.55
0;1;79;494.2;6.5667
0;1;79;494.2;6.5833
0;1;80;496.3;6.6
0;1;80;496.3;6.6167
0;1;80;496.3;6.6333
0;1;80;496.3;6.65
0;1;80;496.3;6.6667
0;1;81;497.7;6.6833
0;1;81;497.7;6.7
0;1;81;497.7;6.7167
0;1;81;497.7;6.7333
0;1;81;497.7;6.75
0;1;82;498.6;6.7667
0;1;82;498.6;6.7833
