load,timestep,area,scenario,timestep_fractional
409.1,17,1,0,1.4167
406.8,18,1,0,1.4333
406.8,18,1,0,1.45
406.8,18,1,0,1.4667
406.8,18,1,0,1.4833
406.8,18,1,0,1.5
406.1,19,1,0,1.5167
406.1,19,1,0,1.5333
406.1,19,1,0,1.55
406.1,19,1,0,1.5667
406.1,19,1,0,1.5833
404.70000000000005,20,1,0,1.6
404.70000000000005,20,1,0,1.6167
404.70000000000005,20,1,0,1.6333
404.70000000000005,20,1,0,1.65
404.70000000000005,20,1,0,1.6667
402.9,21,1,0,1.6833
402.9,21,1,0,1.7
402.9,21,1,0,1.7167
402.9,21,1,0,1.7333
402.9,21,1,0,1.75
402.1,22,1,0,1.7667
402.1,22,1,0,1.7833
402.1,22,1,0,1.8
402.1,22,1,0,1.8167
402.1,22,1,0,1.8333
401.30000000000007,23,1,0,1.85
401.30000000000007,23,1,0,1.8667
401.30000000000007,23,1,0,1.8833
401.30000000000007,23,1,0,1.9
401.30000000000007,23,1,0,1.9167
401.2,24,1,0,1.9333
401.2,24,1,0,1.95
401.2,24,1,0,1.9667
401.2,24,1,0,1.9833
401.2,24,1,0,2.0
401.1000000000001,25,1,0,2.0167
401.1000000000001,25,1,0,2.0333
401.1000000000001,25,1,0,2.05
401.1000000000001,25,1,0,2.0667
401.1000000000001,25,1,0,2.0833
400.40000000000003,26,1,0,2.1
400.40000000000003,26,1,0,2.1167
400.40000000000003,26,1,0,2.1333
400.40000000000003,26,1,0,2.15
400.40000000000003,26,1,0,2.1667
399.3,27,1,0,2.1833
399.3,27,1,0,2.2
399.3,27,1,0,2.2167
399.3,27,1,0,2.2333
399.3,27,1,0,2.25
397.8,28,1,0,2.2667
397.8,28,1,0,2.2833
397.8,28,1,0,2.3
397.8,28,1,0,2.3167
397.8,28,1,0,2.3333
396.9,29,1,0,2.35
396.9,29,1,0,2.3667
396.9,29,1,0,2.3833
396.9,29,1,0,2.4
396.9,29,1,0,2.4167
