timestep_fractional,Continuous up_activation,Continuous down_activation,Discrete down_activation,Discrete up_activation,Imbalance continuous,Imbalance discrete
0.6833,466.41999999999985,364.6999999999996,386.49999999999994,351.93,-0.9303317260819313,-68.00000000000091
0.7,472.4299999999998,364.96999999999963,386.49999999999994,351.93,4.87596300000223,-68.00000000000091
0.7167,478.80000000000007,365.4499999999998,386.49999999999994,351.93,10.743017347995192,-68.00000000000091
0.7333,485.3700000000004,366.1499999999999,386.49999999999994,351.93,16.649706271606192,-68.00000000000091
0.75,492.41999999999985,367.16999999999973,386.49999999999994,351.93,22.571992187499745,-68.00000000000091
0.7667,499.61000000000035,368.51999999999975,386.49999999999994,351.93,-49.11707502468835,-145.59999999999945
0.7833,507.18000000000023,370.20999999999987,386.49999999999994,351.93,-43.24735802237501,-145.59999999999945
0.8,515.0400000000001,372.3299999999997,386.49999999999994,351.93,-37.451632000000245,-145.59999999999945
0.8167,523.1999999999998,374.80999999999966,386.49999999999994,351.93,-31.765584689044772,-145.59999999999945
0.8333,531.7099999999999,377.76999999999975,386.49999999999994,351.93,-26.22781635802494,-145.59999999999945
0.85,540.5400000000001,381.1099999999999,386.49999999999994,351.93,30.320160187498914,-94.40000000000146
0.8667,549.5900000000005,385.17000000000013,386.49999999999994,351.93,35.43391960493773,-94.40000000000146
0.8833,559.0600000000002,389.83000000000004,386.49999999999994,351.93,40.26612401466082,-94.40000000000146
0.9,568.8199999999997,395.04000000000013,386.49999999999994,351.93,44.766523000000234,-94.40000000000146
0.9167,578.9,400.95999999999987,386.49999999999994,351.93,48.88195360725058,-94.40000000000146
0.9333,589.2199999999999,407.68,386.49999999999994,351.93,-6.843659654320618,-153.79999999999927
0.95,599.9100000000007,415.09000000000003,386.49999999999994,351.93,-3.6693048124998313,-153.79999999999927
0.9667,610.8200000000005,423.4100000000003,386.49999999999994,351.93,-1.0568824320980639,-153.79999999999927
0.9833,622.0100000000001,432.6599999999997,386.49999999999994,351.93,0.9287943850322335,-153.79999999999927
1,633.46,442.95000000000016,386.49999999999994,351.93,2.2200000000020736,-153.79999999999927
1.0167,436.21,522.3799999999994,374.4999999999999,338.5,0.8284547777811895,123.10000000000127
1.0333,430.78000000000003,515.6499999999994,374.4999999999999,338.5,2.3088853333338193,123.10000000000127
1.05,425.90999999999997,508.82000000000005,374.4999999999999,338.5,4.140297000001738,123.10000000000127
1.0667,421.4600000000002,502.15999999999997,374.4999999999999,338.5,6.302236444445043,123.10000000000127
1.0833,417.5000000000001,495.83999999999986,374.4999999999999,338.5,8.774791666671263,123.10000000000127
1.1,413.9500000000001,489.66000000000014,374.4999999999999,338.5,67.63859200000024,179.19999999999982
1.1167,410.8699999999997,483.3999999999997,374.4999999999999,338.5,70.67480811111182,179.19999999999982
1.1333,408.2399999999998,477.3599999999998,374.4999999999999,338.5,73.96515199999885,179.19999999999982
1.15,405.96999999999974,471.7399999999996,374.4999999999999,338.5,77.49187699999948,179.19999999999982
1.1667,404.01000000000016,466.04,374.4999999999999,338.5,81.23777777777741,179.19999999999982
1.1833,402.46999999999974,460.44999999999993,374.4999999999999,338.5,-1.5138096666651109,92.5
1.2,401.19000000000017,455.1399999999998,374.4999999999999,338.5,2.6209919999973863,92.5
1.2167,400.14999999999975,449.7999999999996,374.4999999999999,338.5,6.926601444445623,92.5
1.2333,399.65999999999974,444.74999999999955,374.4999999999999,338.5,11.38797866666755,92.5
1.25,399.26,439.84999999999985,374.4999999999999,338.5,15.990625000001273,92.5
1.2667,399.2599999999997,434.9199999999997,374.4999999999999,338.5,-40.97941688889023,30.799999999999272
1.2833,399.45999999999964,430.37,374.4999999999999,338.5,-36.13556300000164,30.799999999999272
1.3,399.9300000000002,425.9199999999999,374.4999999999999,338.5,-31.190687999998772,30.799999999999272
1.3167,400.55000000000024,421.54000000000013,374.4999999999999,338.5,-26.15712522222202,30.799999999999272
1.3333,401.58999999999986,417.3900000000001,374.4999999999999,338.5,-21.046666666669807,30.799999999999272
1.35,402.6799999999999,413.27,374.4999999999999,338.5,-20.470562999999856,26.200000000000728
1.3667,404.06000000000023,409.56,374.4999999999999,338.5,-15.239523555553205,26.200000000000728
1.3833,405.56000000000006,405.8599999999999,374.4999999999999,338.5,-9.96371633333456,26.200000000000728
1.4,407.41000000000014,402.3299999999999,374.4999999999999,338.5,-4.652767999999014,26.200000000000728
1.4167,409.36999999999983,398.9999999999997,374.4999999999999,338.5,0.6842361111139326,26.200000000000728
1.4333,411.55999999999966,395.75,374.4999999999999,338.5,-9.761247999997067,10.400000000001455
1.45,413.8600000000002,392.82999999999964,374.4999999999999,338.5,-4.397223000001759,10.400000000001455
1.4667,416.4400000000001,389.8799999999998,374.4999999999999,338.5,0.9688497777779048,10.400000000001455
1.4833,419.1000000000003,387.2099999999999,374.4999999999999,338.5,6.330050333335748,10.400000000001455
1.5,421.9800000000001,384.71999999999986,374.4999999999999,338.5,11.6800000000012,10.400000000001455
1.5167,425.0700000000002,382.4899999999998,374.4999999999999,338.5,64.41286144444712,57.800000000002
1.5333,428.3400000000001,380.56999999999994,374.4999999999999,338.5,69.7233386666685,57.800000000002
1.55,431.7300000000005,378.4999999999998,374.4999999999999,338.5,75.00667700000122,57.800000000002
1.5667,435.3099999999998,376.9199999999998,374.4999999999999,338.5,80.25866311111349,57.800000000002
