Imbalance continuous,timestep_fractional,Imbalance discrete
11.039215786265345,2.2167,5.300000000000011
9.908769617283781,2.2333,5.300000000000011
8.804804687499995,2.25,5.300000000000011
1.4344501728396608,2.2667,1
0.4042852307097746,2.2833,1
0.579661000000101,2.3,1
1.5119093989197268,2.3167,1
2.3875308641974016,2.3333,1
11.502146312500088,2.35,9.300000000000011
12.251926679012456,2.3667,9.300000000000011
12.933592917438148,2.3833,9.300000000000011
13.544415999999956,2.4,9.300000000000011
14.082216917438416,2.4167,9.300000000000011
1.554633320987648,2.4333,6.800000000000011
1.167213687500066,2.45,6.800000000000011
0.8560531358024832,2.4667,6.800000000000011
0.6211306010800399,2.4833,6.800000000000011
0.4618749999999636,2.5,6.800000000000011
2.577165230709852,2.5167,9
2.565330172839424,2.5333,9
2.6241486875000533,2.55,9
