Imbalance continuous;Imbalance discrete;timestep_fractional;;;;;;;;;;;
3.58;20.1;0;;21.017392;32.2;;;;Column1;Discrete;Continuous;Column2;Column3
7.600897473;22.3;2.0833;;12.64596425;17.1;;;;;;;;
2.179459;11.5;2.1;;12.61948381;16.4;;;;;;;;
1.109462638;11.5;2.1167;;12.61582031;16.4;;;;;;;;
0.000642765;11.5;2.1333;;12.57119249;16.4;;;;;;;;
1.136021313;11.5;2.15;;12.5711541;16.4;;;;;;;;
2.290100309;11.5;2.1667;;12.56707031;16.4;;;;;;;;
13.34828505;5.3;2.1833;;12.49357317;16.4;;;;;;;;
12.188464;5.3;2.2;;12.44756952;16.4;;;;;;;;
11.03921579;5.3;2.2167;;12.39373154;16.4;;;;;;;;
9.908769617;5.3;2.2333;;12.38041225;16.4;;;;;;;;
8.804804687;5.3;2.25;;12.36806089;16.4;;;;;;;;
1.434450173;1;2.2667;;12.3665213;16.3;;;;;;;;
0.404285231;1;2.2833;;12.35934356;16.3;;;;;;;;
0.579661;1;2.3;;12.351552;16.3;;;;;;;;
1.511909399;1;2.3167;;12.34897788;16.3;;;;;;;;
2.387530864;1;2.3333;;12.34271605;16.3;;;;;;;;
11.50214631;9.3;2.35;;12.30407869;16.3;;;;;;;;
12.25192668;9.3;2.3667;;12.25192668;16.3;;;;;;;;
12.93359292;9.3;2.3833;;12.25043482;16.3;;;;;;;;
13.544416;9.3;2.4;;12.24524416;16.3;;;;;;;;
14.08221692;9.3;2.4167;;12.188464;16.3;;;;;;;;
1.554633321;6.8;2.4333;;12.15708879;16.2;;;;;;;;
1.167213688;6.8;2.45;;12.15582269;16.2;;;;;;;;
0.856053136;6.8;2.4667;;12.14661387;16.2;;;;;;;;
0.621130601;6.8;2.4833;;12.11693673;16.2;;;;;;;;
0.461875;6.8;2.5;;12.09145882;16.2;;;;;;;;
2.577165231;9;2.5167;;12.063232;16.1;;;;;;;;
2.565330173;9;2.5333;;12.05718919;16.1;;;;;;;;
2.624148688;9;2.55;;12.04242907;16.1;;;;;;;;
2.750849617;9;2.5667;;12.02777778;16.1;;;;;;;;
2.942111786;9;2.5833;;11.99475743;16.1;;;;;;;;
1.705936;4.1;2.6;;11.96961719;15.8;;;;;;;;
1.397714954;4.1;2.6167;;11.93986667;15.8;;;;;;;;
1.038196309;4.1;2.6333;;11.912272;15.8;;;;;;;;
0.632901312;4.1;2.65;;11.9075455;15.8;;;;;;;;
0.187901235;4.1;2.6667;;11.87015581;15.8;;;;;;;;
6.209817362;2.4;2.6833;;11.79856221;15.8;;;;;;;;
5.705821;2.4;2.7;;11.750607;15.8;;;;;;;;
5.183633473;2.4;2.7167;;11.72980968;15.8;;;;;;;;
4.651526123;2.4;2.7333;;11.71967441;15.8;;;;;;;;
4.118320312;2.4;2.75;;11.67765432;15.8;;;;;;;;
10.30661258;11.5;2.7667;;11.59552632;15.7;;;;;;;;
10.81335116;11.5;2.7833;;11.55471408;15.7;;;;;;;;
11.291424;11.5;2.8;;11.52243755;15.7;;;;;;;;
11.72980968;11.5;2.8167;;11.5203449;15.7;;;;;;;;
12.11693673;11.5;2.8333;;11.515642;15.7;;;;;;;;
0.459316313;1.4;2.85;;11.50214631;15.5;;;;;;;;
0.211620938;1.4;2.8667;;11.48167057;15.5;;;;;;;;
0.053198658;1.4;2.8833;;11.476232;15.5;;;;;;;;
0.002179;1.4;2.9;;11.42591188;15.5;;;;;;;;
0.05980951;1.4;2.9167;;11.40496;15.5;;;;;;;;
12.64596425;11.5;2.9333;;11.38820312;15.3;;;;;;;;
12.30407869;11.5;2.95;;11.38716164;15.3;;;;;;;;
11.79856221;11.5;2.9667;;11.38258528;15.3;;;;;;;;
11.11289319;11.5;2.9833;;11.3594788;15.3;;;;;;;;
10.23;11.5;3;;11.33308642;15.3;;;;;;;;
7.317241108;13.4;3.0167;;11.32929488;15.3;;;;;;;;
8.185119951;13.4;3.0333;;11.291424;15.3;;;;;;;;
8.97684975;13.4;3.05;;11.28323199;15.3;;;;;;;;
9.695616988;13.4;3.0667;;11.25342022;15.3;;;;;;;;
10.3445814;13.4;3.0833;;11.24431107;15.3;;;;;;;;
5.373124;2.9;3.1;;11.22919982;15.2;;;;;;;;
4.854392966;2.9;3.1167;;11.21602805;15.2;;;;;;;;
4.396145975;2.9;3.1333;;11.1859021;15.2;;;;;;;;
3.99533025;2.9;3.15;;11.15693407;15.2;;;;;;;;
3.648919753;2.9;3.1667;;11.11289319;15.2;;;;;;;;
0.753915188;0.3;3.1833;;11.10738556;15.2;;;;;;;;
0.507344;0.3;3.2;;11.09866536;15.2;;;;;;;;
0.306260373;0.3;3.2167;;11.03921579;15.2;;;;;;;;
0.147745235;0.3;3.2333;;11.02851852;15.2;;;;;;;;
0.02890625;0.3;3.25;;11.02578125;15.2;;;;;;;;
4.353122173;4;3.2667;;10.97974537;15;;;;;;;;
4.401178886;4;3.2833;;10.96334313;15;;;;;;;;
4.418076;4;3.3;;10.96160434;15;;;;;;;;
4.406598886;4;3.3167;;10.94563338;15;;;;;;;;
4.369506173;4;3.3333;;10.94049383;15;;;;;;;;
3.80952975;3.5;3.35;;10.92484656;15;;;;;;;;
3.729374765;3.5;3.3667;;10.89430556;15;;;;;;;;
3.631719627;3.5;3.3833;;10.89236871;15;;;;;;;;
3.519216;3.5;3.4;;10.81335116;15;;;;;;;;
3.394488812;3.5;3.4167;;10.78479167;15;;;;;;;;
2.739863753;2.5;3.4333;;10.77467241;14.8;;;;;;;;
2.88127025;2.5;3.45;;10.75656;14.8;;;;;;;;
3.027185975;2.5;3.4667;;10.75038806;14.8;;;;;;;;
3.175092966;2.5;3.4833;;10.73132544;14.8;;;;;;;;
3.3225;2.5;3.5;;10.70338444;14.8;;;;;;;;
0.333057404;1.3;3.5167;;10.687902;14.8;;;;;;;;
0.194016988;1.3;3.5333;;10.684432;14.8;;;;;;;;
0.06278975;1.3;3.55;;10.68;14.8;;;;;;;;
0.058240049;1.3;3.5667;;10.67897157;14.8;;;;;;;;
0.166714892;1.3;3.5833;;10.58710135;14.8;;;;;;;;
4.039696;5.6;3.6;;10.54605469;14.3;;;;;;;;
3.963296664;5.6;3.6167;;10.52525815;14.3;;;;;;;;
3.906364395;5.6;3.6333;;10.48842588;14.3;;;;;;;;
3.87114975;5.6;3.65;;10.482084;14.3;;;;;;;;
3.859876543;5.6;3.6667;;10.45604938;14.3;;;;;;;;
10.52525815;8.8;3.6833;;10.44934652;14.2;;;;;;;;
10.482084;8.8;3.7;;10.43939487;14.2;;;;;;;;
10.40845741;8.8;3.7167;;10.42915378;14.2;;;;;;;;
10.30226153;8.8;3.7333;;10.42373856;14.2;;;;;;;;
10.16140625;8.8;3.75;;10.41234568;14.2;;;;;;;;
15.3838282;14.2;3.7667;;10.40845741;13.9;;;;;;;;
15.16749074;14.2;3.7833;;10.38919356;13.9;;;;;;;;
14.910384;14.2;3.8;;10.38676712;13.9;;;;;;;;
14.61052482;14.2;3.8167;;10.384528;13.9;;;;;;;;
14.26595679;14.2;3.8333;;10.37097881;13.9;;;;;;;;
0.77475025;1.1;3.85;;10.34728257;13.8;;;;;;;;
0.335002272;1.1;3.8667;;10.34580799;13.8;;;;;;;;
0.15516333;1.1;3.8833;;10.3445814;13.8;;;;;;;;
0.697596;1.1;3.9;;10.335664;13.8;;;;;;;;
1.294118441;1.1;3.9167;;10.307312;13.8;;;;;;;;
5.346526617;2.3;3.9333;;10.30661258;13.7;;;;;;;;
6.05658975;2.3;3.95;;10.30226153;13.7;;;;;;;;
6.826050321;2.3;3.9667;;10.25241512;13.7;;;;;;;;
7.656624071;2.3;3.9833;;10.249105;13.7;;;;;;;;
8.55;2.3;4;;10.23;13.7;;;;;;;;
0.801987878;0;4.0167;;10.22177244;13.7;;;;;;;;
0.098915679;0;4.0333;;10.16140625;13.7;;;;;;;;
0.471441875;0;4.05;;10.15702925;13.7;;;;;;;;
0.920872099;0;4.0667;;10.15325638;13.7;;;;;;;;
1.260724344;0;4.0833;;10.13930122;13.7;;;;;;;;
0.19809;1.7;4.1;;10.13309206;13.4;;;;;;;;
0.045097508;1.7;4.1167;;10.09619694;13.4;;;;;;;;
0.029737284;1.7;4.1333;;10.093872;13.4;;;;;;;;
0.036011875;1.7;4.15;;10.07894115;13.4;;;;;;;;
0.017114198;1.7;4.1667;;10.05809462;13.4;;;;;;;;
0.22091936;1.8;4.1833;;10.054883;13.3;;;;;;;;
0.36712;1.8;4.2;;10.03383957;13.3;;;;;;;;
0.547870471;1.8;4.2167;;10.02283637;13.3;;;;;;;;
0.755763086;1.8;4.2333;;9.974371556;13.3;;;;;;;;
0.983828125;1.8;4.25;;9.954945988;13.3;;;;;;;;
8.325533827;8.9;4.2667;;9.908769617;13.2;;;;;;;;
8.574786397;8.9;4.2833;;9.907248;13.2;;;;;;;;
8.82593;8.9;4.3;;9.890569848;13.2;;;;;;;;
9.073746767;8.9;4.3167;;9.890182774;13.2;;;;;;;;
9.31345679;8.9;4.3333;;9.886991;13.2;;;;;;;;
0.659281875;1.3;4.35;;9.884949543;13.1;;;;;;;;
0.44837321;1.3;4.3667;;9.836102753;13.1;;;;;;;;
0.257283233;1.3;4.3833;;9.835807012;13.1;;;;;;;;
0.08904;1.3;4.4;;9.817742688;13.1;;;;;;;;
0.053766397;1.3;4.4167;;9.812541937;13.1;;;;;;;;
0.731016173;2.2;4.4333;;9.802049093;12.9;;;;;;;;
0.645101875;2.2;4.45;;9.800396938;12.9;;;;;;;;
